id,date,category,actor_type,technique,asset,region,severity,status,loss_usd_thousands,description
T0120,19/11/2025,Malware,Nation-State,Malware Dropper,Tokenized Asset Platform,Middle East & Africa,Critical,Impacted,49.7,Synthetic banking-sector CTI event
T0121,13/10/2025,Fraud,Insider,Phishing Email,Digital Channels (Mobile/Web),Europe,High,Recovered,412.1,Synthetic banking-sector CTI event
T0122,1/10/2025,Malware,Nation-State,API Token Theft,Core Banking System,Latin America,High,Contained,325.59,Synthetic banking-sector CTI event
T0123,13/2/2026,API Abuse,Insider,SIM Swap,Core Banking System,North America,Low,Detected,155.66,Synthetic banking-sector CTI event
T0124,2/12/2025,Malware,Cybercrime,Malware Dropper,Data Platform & Analytics,North America,Critical,Recovered,188.65,Synthetic banking-sector CTI event
T0125,16/3/2026,DDoS,Nation-State,SIM Swap,SWIFT/RTGS Gateway,Global,Critical,Recovered,469.83,Synthetic banking-sector CTI event
T0126,15/8/2025,Fraud,Insider,Malware Dropper,Digital Channels (Mobile/Web),Asia-Pacific,Medium,Impacted,54.18,Synthetic banking-sector CTI event
T0127,11/3/2026,Phishing,Insider,Credential Stuffing,Digital Channels (Mobile/Web),Europe,Medium,Detected,474.76,Synthetic banking-sector CTI event
T0128,12/11/2025,Malware,Nation-State,Credential Stuffing,Core Banking System,Europe,Medium,Contained,394.55,Synthetic banking-sector CTI event
T0129,8/7/2025,Malware,Nation-State,Malware Dropper,Tokenized Asset Platform,North America,High,Contained,395.38,Synthetic banking-sector CTI event
T0130,24/1/2026,Fraud,Insider,Deepfake Voice,Payment Processing Infrastructure,Latin America,High,Contained,59.41,Synthetic banking-sector CTI event
T0131,7/4/2025,Insider,Cybercrime,ATM Jackpotting,Tokenized Asset Platform,North America,High,Detected,91.25,Synthetic banking-sector CTI event
T0132,20/4/2025,Insider,Hacktivist,Phishing Email,SWIFT/RTGS Gateway,Global,Critical,Recovered,390.12,Synthetic banking-sector CTI event
T0133,12/12/2025,Malware,Hacktivist,Malware Dropper,Data Platform & Analytics,Global,High,Recovered,323.45,Synthetic banking-sector CTI event
T0134,9/4/2025,Fraud,Hacktivist,SIM Swap,Digital Channels (Mobile/Web),Middle East & Africa,Low,Recovered,357.64,Synthetic banking-sector CTI event
T0135,7/11/2025,Malware,Cybercrime,ATM Jackpotting,Data Platform & Analytics,North America,Low,Contained,141.13,Synthetic banking-sector CTI event
T0136,12/2/2026,Phishing,Hacktivist,Ransomware,Digital Channels (Mobile/Web),Latin America,Critical,Detected,397.58,Synthetic banking-sector CTI event
T0137,22/5/2025,Nation-State,Hacktivist,API Token Theft,Payment Processing Infrastructure,Asia-Pacific,High,Recovered,202.37,Synthetic banking-sector CTI event
T0138,12/5/2025,Phishing,Hacktivist,ATM Jackpotting,SWIFT/RTGS Gateway,Europe,High,Contained,344.98,Synthetic banking-sector CTI event
T0139,22/11/2025,Malware,Cybercrime,Phishing Email,Core Banking System,Asia-Pacific,Low,Impacted,406.83,Synthetic banking-sector CTI event
T0140,3/1/2026,Fraud,Insider,Phishing Email,Digital Channels (Mobile/Web),Europe,Critical,Detected,484.36,Synthetic banking-sector CTI event
T0141,26/1/2026,Ransomware,Insider,Phishing Email,Data Platform & Analytics,Latin America,Medium,Contained,330.08,Synthetic banking-sector CTI event
T0142,17/7/2025,Malware,Insider,ATM Jackpotting,Core Banking System,Europe,Medium,Recovered,423.35,Synthetic banking-sector CTI event
T0143,6/2/2026,Fraud,Insider,Credential Stuffing,Payment Processing Infrastructure,Europe,High,Impacted,178.76,Synthetic banking-sector CTI event
T0144,25/6/2025,Insider,Hacktivist,Phishing Email,Payment Processing Infrastructure,Middle East & Africa,Low,Detected,374.33,Synthetic banking-sector CTI event
T0145,13/7/2025,DDoS,Hacktivist,API Token Theft,Customer Identity & Authentication,North America,High,Impacted,362.19,Synthetic banking-sector CTI event
T0146,9/1/2026,Malware,Cybercrime,Deepfake Voice,Payment Processing Infrastructure,Latin America,Low,Detected,139.69,Synthetic banking-sector CTI event
T0147,26/2/2026,DDoS,Hacktivist,API Token Theft,Digital Channels (Mobile/Web),Europe,Medium,Detected,175.86,Synthetic banking-sector CTI event
T0148,20/5/2025,Ransomware,Hacktivist,Ransomware,Core Banking System,North America,Critical,Detected,8.81,Synthetic banking-sector CTI event
T0149,26/8/2025,Nation-State,Nation-State,Ransomware,Customer Identity & Authentication,Europe,Low,Detected,251.21,Synthetic banking-sector CTI event
T0150,31/10/2025,Insider,Nation-State,SIM Swap,Data Platform & Analytics,Middle East & Africa,Medium,Impacted,40.68,Synthetic banking-sector CTI event
T0151,15/4/2025,DDoS,Cybercrime,API Token Theft,Core Banking System,Europe,Critical,Recovered,356.2,Synthetic banking-sector CTI event
T0152,24/10/2025,Ransomware,Cybercrime,SIM Swap,Core Banking System,Europe,Medium,Recovered,416.85,Synthetic banking-sector CTI event
T0153,26/9/2025,Malware,Hacktivist,Phishing Email,Payment Processing Infrastructure,Asia-Pacific,Critical,Detected,200.9,Synthetic banking-sector CTI event
T0154,30/8/2025,Phishing,Nation-State,ATM Jackpotting,Tokenized Asset Platform,North America,Low,Detected,267.65,Synthetic banking-sector CTI event
T0155,2/7/2025,Phishing,Insider,Deepfake Voice,Payment Processing Infrastructure,Global,Medium,Impacted,102.65,Synthetic banking-sector CTI event
T0156,27/1/2026,Insider,Cybercrime,Deepfake Voice,Tokenized Asset Platform,Middle East & Africa,Critical,Recovered,378.45,Synthetic banking-sector CTI event
T0157,15/1/2026,API Abuse,Insider,ATM Jackpotting,Payment Processing Infrastructure,Asia-Pacific,Low,Recovered,223.89,Synthetic banking-sector CTI event
T0158,27/8/2025,Ransomware,Cybercrime,ATM Jackpotting,Data Platform & Analytics,Global,High,Recovered,228.7,Synthetic banking-sector CTI event
T0159,23/4/2025,Phishing,Insider,Phishing Email,SWIFT/RTGS Gateway,Global,Critical,Recovered,292.26,Synthetic banking-sector CTI event
T0160,15/4/2025,API Abuse,Nation-State,ATM Jackpotting,Data Platform & Analytics,Asia-Pacific,Medium,Detected,228.01,Synthetic banking-sector CTI event
T0161,16/9/2025,Malware,Nation-State,Credential Stuffing,Payment Processing Infrastructure,Middle East & Africa,Critical,Recovered,264.41,Synthetic banking-sector CTI event
T0162,31/1/2026,Insider,Insider,ATM Jackpotting,Customer Identity & Authentication,Asia-Pacific,Critical,Impacted,341.05,Synthetic banking-sector CTI event
T0163,20/4/2025,Phishing,Cybercrime,ATM Jackpotting,Core Banking System,Latin America,Critical,Impacted,129.74,Synthetic banking-sector CTI event
T0164,24/2/2026,Insider,Insider,Phishing Email,Data Platform & Analytics,Middle East & Africa,Medium,Impacted,158.56,Synthetic banking-sector CTI event
T0165,23/2/2026,DDoS,Nation-State,Phishing Email,Customer Identity & Authentication,Latin America,Critical,Impacted,407.53,Synthetic banking-sector CTI event
T0166,3/3/2026,Malware,Hacktivist,ATM Jackpotting,Core Banking System,Europe,High,Contained,475.83,Synthetic banking-sector CTI event
T0167,15/9/2025,API Abuse,Nation-State,Malware Dropper,Payment Processing Infrastructure,North America,Low,Impacted,422.99,Synthetic banking-sector CTI event
T0168,15/5/2025,Fraud,Insider,Deepfake Voice,Data Platform & Analytics,Asia-Pacific,Medium,Contained,94.52,Synthetic banking-sector CTI event
T0169,14/3/2026,Insider,Hacktivist,Credential Stuffing,Digital Channels (Mobile/Web),Europe,Medium,Recovered,307.24,Synthetic banking-sector CTI event
T0170,9/11/2025,Nation-State,Nation-State,Ransomware,Tokenized Asset Platform,Asia-Pacific,Medium,Impacted,340.76,Synthetic banking-sector CTI event
T0171,11/1/2026,API Abuse,Hacktivist,Ransomware,Tokenized Asset Platform,Asia-Pacific,Critical,Contained,409.36,Synthetic banking-sector CTI event
T0172,28/1/2026,Insider,Insider,Credential Stuffing,SWIFT/RTGS Gateway,Asia-Pacific,High,Detected,357.14,Synthetic banking-sector CTI event
T0173,14/12/2025,Malware,Insider,Phishing Email,Tokenized Asset Platform,North America,High,Recovered,453.13,Synthetic banking-sector CTI event
T0174,8/6/2025,DDoS,Cybercrime,Malware Dropper,Tokenized Asset Platform,Asia-Pacific,High,Detected,210.37,Synthetic banking-sector CTI event
T0175,13/10/2025,Phishing,Nation-State,SIM Swap,Core Banking System,Europe,Medium,Detected,162.75,Synthetic banking-sector CTI event
T0176,14/5/2025,Phishing,Nation-State,Deepfake Voice,Core Banking System,Europe,Critical,Contained,380.63,Synthetic banking-sector CTI event
T0177,20/11/2025,API Abuse,Cybercrime,Phishing Email,Core Banking System,Europe,Medium,Contained,276.66,Synthetic banking-sector CTI event
T0178,30/1/2026,DDoS,Cybercrime,Ransomware,Payment Processing Infrastructure,Europe,Low,Detected,123.03,Synthetic banking-sector CTI event
T0179,15/2/2026,API Abuse,Cybercrime,Phishing Email,Tokenized Asset Platform,Asia-Pacific,Low,Contained,360.68,Synthetic banking-sector CTI event
T0180,21/8/2025,DDoS,Cybercrime,ATM Jackpotting,Payment Processing Infrastructure,Latin America,Critical,Contained,333.86,Synthetic banking-sector CTI event
T0181,7/5/2025,Phishing,Cybercrime,Credential Stuffing,Digital Channels (Mobile/Web),Asia-Pacific,Low,Recovered,490.61,Synthetic banking-sector CTI event
T0182,1/8/2025,Fraud,Insider,Phishing Email,Customer Identity & Authentication,North America,Low,Impacted,71.04,Synthetic banking-sector CTI event
T0183,21/9/2025,Phishing,Nation-State,API Token Theft,SWIFT/RTGS Gateway,Asia-Pacific,Medium,Contained,36.23,Synthetic banking-sector CTI event
T0184,14/11/2025,Fraud,Insider,Malware Dropper,Core Banking System,North America,Low,Impacted,467.02,Synthetic banking-sector CTI event
T0185,13/12/2025,DDoS,Hacktivist,Ransomware,Core Banking System,Middle East & Africa,Medium,Impacted,181.7,Synthetic banking-sector CTI event
T0186,18/4/2025,Phishing,Insider,Phishing Email,Tokenized Asset Platform,Europe,Critical,Recovered,372.94,Synthetic banking-sector CTI event
T0187,8/10/2025,Phishing,Nation-State,API Token Theft,SWIFT/RTGS Gateway,Asia-Pacific,High,Impacted,401.57,Synthetic banking-sector CTI event
T0188,28/10/2025,Malware,Hacktivist,Deepfake Voice,Data Platform & Analytics,Europe,High,Detected,44.63,Synthetic banking-sector CTI event
T0189,26/2/2026,Ransomware,Insider,API Token Theft,Data Platform & Analytics,Middle East & Africa,Critical,Contained,346.43,Synthetic banking-sector CTI event
T0190,20/9/2025,API Abuse,Cybercrime,ATM Jackpotting,Data Platform & Analytics,Asia-Pacific,High,Detected,42.15,Synthetic banking-sector CTI event
T0191,14/2/2026,DDoS,Insider,Deepfake Voice,Core Banking System,North America,Critical,Detected,67.48,Synthetic banking-sector CTI event
T0192,23/7/2025,Phishing,Insider,SIM Swap,Data Platform & Analytics,Global,Medium,Recovered,474.67,Synthetic banking-sector CTI event
T0193,1/10/2025,API Abuse,Cybercrime,Deepfake Voice,Data Platform & Analytics,Europe,Critical,Impacted,326.53,Synthetic banking-sector CTI event
T0194,30/7/2025,Malware,Cybercrime,Deepfake Voice,Digital Channels (Mobile/Web),Latin America,Critical,Detected,134.58,Synthetic banking-sector CTI event
T0195,5/8/2025,API Abuse,Nation-State,Ransomware,SWIFT/RTGS Gateway,Asia-Pacific,Medium,Detected,72.19,Synthetic banking-sector CTI event
T0196,1/5/2025,API Abuse,Nation-State,API Token Theft,Core Banking System,Middle East & Africa,High,Impacted,356.22,Synthetic banking-sector CTI event
T0197,31/12/2025,Ransomware,Insider,Deepfake Voice,SWIFT/RTGS Gateway,Middle East & Africa,Medium,Impacted,256.83,Synthetic banking-sector CTI event
T0198,26/5/2025,Nation-State,Nation-State,Malware Dropper,Tokenized Asset Platform,Asia-Pacific,Low,Impacted,279.24,Synthetic banking-sector CTI event
T0199,29/9/2025,API Abuse,Nation-State,Phishing Email,Core Banking System,Europe,Critical,Recovered,265.22,Synthetic banking-sector CTI event
T0200,20/10/2025,Malware,Nation-State,ATM Jackpotting,SWIFT/RTGS Gateway,Global,Critical,Recovered,341.65,Synthetic banking-sector CTI event
T0201,17/9/2025,Insider,Nation-State,Deepfake Voice,Digital Channels (Mobile/Web),Latin America,Low,Detected,261.46,Synthetic banking-sector CTI event
T0202,27/8/2025,Insider,Nation-State,ATM Jackpotting,SWIFT/RTGS Gateway,North America,High,Impacted,423.74,Synthetic banking-sector CTI event
T0203,31/7/2025,Nation-State,Insider,Deepfake Voice,SWIFT/RTGS Gateway,Europe,Low,Contained,297.95,Synthetic banking-sector CTI event
T0204,16/1/2026,Insider,Nation-State,ATM Jackpotting,Tokenized Asset Platform,Latin America,Low,Detected,45.21,Synthetic banking-sector CTI event
T0205,16/2/2026,Ransomware,Nation-State,SIM Swap,Data Platform & Analytics,Middle East & Africa,Low,Recovered,445.05,Synthetic banking-sector CTI event
T0206,29/12/2025,Ransomware,Insider,API Token Theft,Payment Processing Infrastructure,Middle East & Africa,Critical,Impacted,229.5,Synthetic banking-sector CTI event
T0207,12/3/2026,Fraud,Nation-State,API Token Theft,Digital Channels (Mobile/Web),Asia-Pacific,Critical,Contained,173.4,Synthetic banking-sector CTI event
T0208,6/6/2025,Phishing,Insider,ATM Jackpotting,Digital Channels (Mobile/Web),North America,High,Detected,162.96,Synthetic banking-sector CTI event
T0209,18/11/2025,Malware,Insider,API Token Theft,Payment Processing Infrastructure,North America,Low,Detected,148.65,Synthetic banking-sector CTI event
T0210,7/10/2025,DDoS,Nation-State,Deepfake Voice,Tokenized Asset Platform,Europe,High,Contained,382.75,Synthetic banking-sector CTI event
T0211,5/12/2025,API Abuse,Hacktivist,Ransomware,Digital Channels (Mobile/Web),Global,Low,Recovered,255.2,Synthetic banking-sector CTI event
T0212,26/7/2025,Nation-State,Insider,Credential Stuffing,Core Banking System,Europe,Critical,Recovered,146.45,Synthetic banking-sector CTI event
T0213,29/3/2025,Malware,Hacktivist,Deepfake Voice,Customer Identity & Authentication,Middle East & Africa,High,Recovered,186.14,Synthetic banking-sector CTI event
T0214,16/10/2025,Fraud,Nation-State,ATM Jackpotting,Data Platform & Analytics,Europe,Low,Recovered,254.61,Synthetic banking-sector CTI event
T0215,31/12/2025,Ransomware,Cybercrime,Deepfake Voice,Core Banking System,Asia-Pacific,High,Impacted,281.13,Synthetic banking-sector CTI event
T0216,28/9/2025,Insider,Nation-State,SIM Swap,Data Platform & Analytics,Global,Low,Detected,72.83,Synthetic banking-sector CTI event
T0217,11/9/2025,API Abuse,Hacktivist,Deepfake Voice,Data Platform & Analytics,Latin America,Medium,Impacted,466.03,Synthetic banking-sector CTI event
T0218,4/9/2025,Insider,Hacktivist,Ransomware,Data Platform & Analytics,Europe,Critical,Impacted,240.07,Synthetic banking-sector CTI event
T0219,2/4/2025,Phishing,Insider,Phishing Email,Digital Channels (Mobile/Web),Latin America,High,Detected,300.47,Synthetic banking-sector CTI event
T0220,7/8/2025,Nation-State,Cybercrime,API Token Theft,Payment Processing Infrastructure,Latin America,Critical,Contained,411.72,Synthetic banking-sector CTI event
T0221,27/7/2025,Fraud,Cybercrime,Malware Dropper,Core Banking System,Asia-Pacific,High,Recovered,79.96,Synthetic banking-sector CTI event
T0222,13/3/2026,Nation-State,Hacktivist,API Token Theft,Tokenized Asset Platform,Middle East & Africa,Low,Contained,261.75,Synthetic banking-sector CTI event
T0223,6/1/2026,Phishing,Hacktivist,SIM Swap,Customer Identity & Authentication,North America,Critical,Impacted,275.41,Synthetic banking-sector CTI event
T0224,6/3/2026,Ransomware,Hacktivist,Malware Dropper,Payment Processing Infrastructure,Europe,High,Contained,471.04,Synthetic banking-sector CTI event
T0225,24/8/2025,Ransomware,Nation-State,API Token Theft,Customer Identity & Authentication,Asia-Pacific,High,Impacted,147.46,Synthetic banking-sector CTI event
T0226,12/1/2026,DDoS,Hacktivist,ATM Jackpotting,Tokenized Asset Platform,North America,High,Detected,147.38,Synthetic banking-sector CTI event
T0227,4/5/2025,Phishing,Hacktivist,Ransomware,SWIFT/RTGS Gateway,Asia-Pacific,Medium,Contained,414.84,Synthetic banking-sector CTI event
T0228,10/8/2025,Ransomware,Nation-State,Phishing Email,Data Platform & Analytics,Middle East & Africa,Medium,Contained,30.13,Synthetic banking-sector CTI event
T0229,21/12/2025,Nation-State,Nation-State,Credential Stuffing,Core Banking System,Asia-Pacific,High,Recovered,54.77,Synthetic banking-sector CTI event
T0230,3/6/2025,Fraud,Nation-State,SIM Swap,SWIFT/RTGS Gateway,Asia-Pacific,Critical,Contained,379.18,Synthetic banking-sector CTI event
T0231,19/8/2025,Phishing,Insider,Credential Stuffing,Tokenized Asset Platform,Global,Medium,Detected,457.05,Synthetic banking-sector CTI event
T0232,22/6/2025,DDoS,Nation-State,Credential Stuffing,Tokenized Asset Platform,Asia-Pacific,Critical,Contained,468.62,Synthetic banking-sector CTI event
T0233,20/8/2025,Fraud,Cybercrime,Ransomware,Data Platform & Analytics,Latin America,Low,Impacted,145.86,Synthetic banking-sector CTI event
T0234,16/2/2026,API Abuse,Nation-State,API Token Theft,Customer Identity & Authentication,North America,Low,Impacted,85.43,Synthetic banking-sector CTI event
T0235,14/11/2025,Ransomware,Nation-State,Credential Stuffing,SWIFT/RTGS Gateway,Europe,High,Contained,91.87,Synthetic banking-sector CTI event
T0236,15/2/2026,DDoS,Hacktivist,ATM Jackpotting,Core Banking System,Asia-Pacific,Low,Contained,490.93,Synthetic banking-sector CTI event
T0237,24/11/2025,Phishing,Nation-State,Credential Stuffing,Customer Identity & Authentication,Asia-Pacific,Medium,Recovered,378.11,Synthetic banking-sector CTI event
T0238,9/9/2025,Ransomware,Cybercrime,Ransomware,SWIFT/RTGS Gateway,Europe,Medium,Detected,335.55,Synthetic banking-sector CTI event
T0239,18/11/2025,Ransomware,Nation-State,SIM Swap,SWIFT/RTGS Gateway,Latin America,High,Detected,321.16,Synthetic banking-sector CTI event
T0240,23/8/2025,Phishing,Nation-State,Malware Dropper,Payment Processing Infrastructure,Asia-Pacific,Medium,Recovered,375.13,Synthetic banking-sector CTI event
